Antenna,Time (sec),X,Y,Z
DSS 24,14798.96796,2185.1324970026944,-3616.620060485955,-3327.8335617883286
DSS 24,14858.96796,2199.621168078294,-3602.022162364899,-3334.1151697422556
DSS 24,14918.96796,2214.051101330702,-3587.3553109198697,-3340.3713117320904
DSS 24,14978.96796,2228.4220205284514,-3572.6197869176444,-3346.60186799683
DSS 24,15038.96796,2242.733650569781,-3557.815872439598,-3352.8067192652584
DSS 24,15098.96796,2256.985717487894,-3542.9438508762996,-3358.985746758228
DSS 24,15158.96796,2271.177948456213,-3528.0040069220886,-3365.1388321909353
DSS 24,15218.96796,2285.310071793594,-3512.996626569625,-3371.2658577751845
DSS 24,15278.96796,2299.38181696953,-3497.9219971044154,-3377.366706221641
DSS 24,15338.96796,2313.392914609331,-3482.7804070993116,-3383.4412607420795
DSS 24,15398.967960000002,2327.3430964992817,-3467.5721464089875,-3389.489405051616
DSS 24,15458.967960000002,2341.2320955917685,-3452.297506164392,-3395.5110233709374
DSS 24,15518.967960000002,2355.0596460104007,-3436.956778767173,-3401.506000428515
DSS 24,15578.967960000002,2368.8254830550964,-3421.5502578840824,-3407.474221462814
DSS 24,15638.967960000002,2382.529343207149,-3406.078238441352,-3413.415572224487
DSS 24,15698.967960000002,2396.170964134273,-3390.5410166190495,-3419.3299389785634
DSS 24,15758.967960000002,2409.7500846956236,-3374.938889845409,-3425.217208506627
DSS 24,15818.967960000002,2423.266444946797,-3359.2721567911367,-3431.077268108981
DSS 24,15878.967960000002,2436.7197861448108,-3343.5411173636935,-3436.910005606808
DSS 24,15938.967960000002,2450.1098507530473,-3327.7460727015527,-3442.7153093443158
DSS 24,15998.967960000002,2463.436382446193,-3311.887325168439,-3448.4930681908745
DSS 24,16058.967960000002,2476.6991261151425,-3295.9651783475338,-3454.243171543146
DSS 24,16118.967960000002,2489.8978278718773,-3279.9799370356723,-3459.9655093271995
DSS 24,16178.967960000002,2503.032235054334,-3263.9319072375024,-3465.6599720006175
DSS 24,16238.967960000002,2516.1020962312346,-3247.8213961596275,-3471.3264505545967
DSS 24,16298.967960000002,2529.1071612069027,-3231.6487122047274,-3476.96483651603
DSS 24,16358.967960000002,2542.0471810260506,-3215.414164965657,-3482.5750219495876
DSS 24,16418.96796,2554.92190797855,-3199.1180652195126,-3488.15689945978
DSS 24,16478.96796,2567.731095604167,-3182.760724921689,-3493.7103621930137
DSS 24,16538.96796,2580.4744986972873,-3166.3424571999067,-3499.2353038396395
DSS 24,16598.96796,2593.151873311603,-3149.863576348215,-3504.731618635985
DSS 24,16658.96796,2605.7629767647886,-3133.324397820977,-3510.1992013663803
DSS 24,16718.96796,2618.3075676431413,-3116.7252382268334,-3515.637947365172
DSS 24,16778.96796,2630.7854058062085,-3100.066415322637,-3521.047752518726
DSS 24,16838.96796,2643.196252391378,-3083.3482480073726,-3526.428513267423
DSS 24,16898.96796,2655.5398698184567,-3066.5710563160546,-3531.7801266076385
DSS 24,16958.96796,2667.8160217942127,-3049.735161413594,-3537.1024900937146
DSS 24,17018.96796,2680.0244733169066,-3032.8408855886564,-3542.3955018399215
DSS 24,17078.567658,2692.0842184097246,-3016.001844795019,-3547.624041455605
DSS 24,17138.567658,2704.1570247635727,-2998.992162554756,-3552.8582438212225
DSS 24,17198.567658,2716.1614349904185,-2981.925070762619,-3558.0627928353933
DSS 24,17258.567658,2728.0972192904546,-2964.8008961330643,-3563.2375888677034
DSS 24,17318.567658,2739.9641491775806,-2947.6199664732812,-3568.382532857301
DSS 24,17378.567658,2751.7619974837708,-2930.3826106769166,-3573.49752631479
DSS 24,17438.567658,2763.4905383634264,-2913.089158717782,-3578.5824713241136
DSS 24,17498.567658,2775.149547297695,-2895.7399416435346,-3583.637270544433
DSS 24,17558.567658,2786.7388010987725,-2878.3352915693376,-3588.6618272119886
DSS 24,17618.567658,2798.2580779141713,-2860.8755416715085,-3593.656045141952
DSS 24,17678.567658,2809.707157230972,-2843.3610261811373,-3598.619828730267
DSS 24,17738.567658,2821.0858198800406,-2825.792080377687,-3603.553082955482
DSS 24,17798.567658,2832.393848040228,-2808.1690405825793,-3608.455713380565
DSS 24,17858.567658,2843.631025242534,-2790.4922441527533,-3613.3276261547167
DSS 24,17918.567658,2854.7971363742577,-2772.7620294742087,-3618.1687280151623
DSS 24,17978.567658,2865.891967683112,-2754.9787359555285,-3622.97892628894
DSS 24,18038.567658,2876.9153067813118,-2737.1427040213816,-3627.7581288946712
DSS 24,18098.567658,2887.8669426496504,-2719.2542751060028,-3632.506244344329
DSS 24,18158.567658,2898.7466656415268,-2701.313791646664,-3637.2231817449847
DSS 24,18218.567658,2909.5542674869666,-2683.3215970771116,-3641.9088508005493
DSS 24,18278.567658,2920.289541296607,-2665.278035820994,-3646.5631618135026
DSS 24,18338.567658,2930.9522815656574,-2647.1834532852736,-3651.1860256866103
DSS 24,18398.567658,2941.5422841778286,-2629.0381958536072,-3655.7773539246264
DSS 24,18458.567658,2952.0593464092535,-2610.8426108797194,-3660.3370586359933
DSS 24,18518.567658,2962.5032669323505,-2592.597046680752,-3664.86505253452
DSS 24,18578.567658,2972.8738458196904,-2574.301852530597,-3669.361248941052
DSS 24,18638.567658,2983.1708845478156,-2555.957378653211,-3673.8255617851346
DSS 24,18698.567658,2993.394186001049,-2537.563976215907,-3678.257905606659
DSS 24,18758.567658,3003.5435544752595,-2519.121997322638,-3682.6581955574948
DSS 24,18818.567658,3013.6187956816084,-2500.631795007252,-3687.0263474031203
DSS 24,18878.567658,3023.6197167502773,-2482.093723226735,-3691.36227752423
DSS 24,18938.567658,3033.54612623415,-2463.508136854437,-3695.6659029183384
DSS 24,18998.567658,3043.3978341124835,-2444.8753916732767,-3699.9371412013666
DSS 24,19058.567658,3053.174651794543,-2426.195844368931,-3704.1759106092213
DSS 24,19118.567658,3062.876392123215,-2407.469852523008,-3708.382129999359
DSS 24,19178.567658,3072.502869378583,-2388.697774606202,-3712.5557188523394
DSS 24,19238.567658,3082.0538992814927,-2369.879969971429,-3716.696597273367
DSS 24,19298.567658,3091.529298997072,-2351.01679884695,-3720.8046859938195
DSS 24,19358.567658,3100.9288871382346,-2332.108622329475,-3724.8799063727683
DSS 24,19418.567658,3110.2524837691512,-2313.1558023772486,-3728.9221803984797
DSS 24,19478.567658,3119.4999104086933,-2294.1587018031223,-3732.9314306899114
DSS 24,19538.567658,3128.670990033849,-2275.1176842676123,-3736.9075804981912
DSS 24,19598.567658,3137.7655470831187,-2256.03311427193,-3740.850553708091
DSS 24,19658.567658,3146.783407459865,-2236.9053571510126,-3744.7602748394766
DSS 24,19718.567658,3155.7243985356536,-2217.734779066527,-3748.6366690487603
DSS 24,19778.567658,3164.5883491535556,-2198.521746999856,-3752.479662130327
DSS 24,19838.567658,3173.3750896314205,-2179.2666287450793,-3756.2891805179597
DSS 24,19898.567658,3182.0844517651317,-2159.9697929019303,-3760.065151286244
DSS 24,19958.567658,3190.71626883182,-2140.631608868741,-3763.807502151967
DSS 24,20018.567658,3199.270375593057,-2121.252446835365,-3767.5161614755007
DSS 24,20078.567658,3207.746608298021,-2101.8326777761013,-3771.1910582621704
DSS 24,20138.567658,3216.144804686624,-2082.3726734425845,-3774.8321221636165
DSS 24,20198.567658,3224.464803992631,-2062.8728063566705,-3778.4392834791424
DSS 24,20258.567658,3232.7064469467236,-2043.3334498033064,-3782.0124731570445
DSS 24,20318.567658,3240.869575779557,-2023.7549778233856,-3785.5516227959383
DSS 24,20378.567658,3248.954034224777,-2004.1377652065826,-3789.0566646460647
DSS 24,20438.567658,3256.959667522017,-1984.482187484185,-3792.527531610589
DSS 24,20498.567658,3264.886322419851,-1964.7886209219018,-3795.964157246885
DSS 24,20558.567658,3272.733847178731,-1945.0574425126574,-3799.3664757678052
DSS 24,20618.567658,3280.502091573903,-1925.28902996938,-3802.7344220429422
DSS 24,20678.567658,3288.19090689826,-1905.4837617177704,-3806.067931599875
DSS 24,20738.567658,3295.800145965211,-1885.642016889052,-3809.3669406254016
DSS 24,20798.567658,3303.3296631114868,-1865.7641753127211,-3812.631385966764
DSS 24,20858.567658,3310.7793141999277,-1845.8506175092718,-3815.8612051328532
DSS 24,20918.567658,3318.1489566222494,-1825.9017246829098,-3819.056336295408
DSS 24,20978.567658,3325.438449301769,-1805.9178787142591,-3822.216718290198
DSS 24,21038.567658,3332.647652696103,-1785.8994621530514,-3825.342290618194
DSS 24,21098.567658,3339.7764287998457,-1765.846858210797,-3828.4329934467264
