Time (sec),Link Budget (kbps),Line Of Sight (1/0),Line Of Sight (deg),Antenna X,Antenna Y,Antenna Z,Satellite X,Satellite Y,Satellite Z,Slant Distance (km)
82299.01746,0.0,0,-65.0454308162789,7369.769965421181,4066.44990621846,3153.5081947723465,-13134.43792,-24072.09261,-18222.81573,40855.19967497891
82359.01746,0.0,0,-65.0470383508382,7353.397986383261,4090.506555702702,3160.606316691845,-12943.93374,-23964.64961,-18160.23276,40665.1157827812
82419.01746,0.0,0,-65.04705618635978,7336.92959541418,4114.48490083149,3167.746238300941,-12752.90012,-23856.22639,-18096.90687,40474.03389737375
82479.01746,0.0,0,-65.04545798855415,7320.365107767491,4138.384482588609,3174.9278229204856,-12561.3357,-23746.81019,-18032.82763,40281.943849429925
82539.01746,0.0,0,-65.04221671685363,7303.704840536333,4162.204843465591,3182.1509330737726,-12369.23915,-23636.388,-17967.98435,40088.83525152456
82599.01746,0.0,0,-65.03730462457759,7286.9491126473295,4185.945527470511,3189.4154304891813,-12176.60919,-23524.94651,-17902.36612,39894.69749586346
82659.01746,0.0,0,-65.03069326059423,7270.098244854522,4209.606080136669,3196.72117610281,-11983.44459,-23412.4721,-17835.96173,39699.51970631169
82719.01746,0.0,0,-65.02235343439473,7253.152559733198,4233.186048531339,3204.06803006115,-11789.74419,-23298.95084,-17768.75972,39503.29077562479
82779.01746,0.0,0,-65.01225514692577,7236.112381673729,4256.684981264407,3211.455851723757,-11595.50687,-23184.36848,-17700.74837,39305.99933998703
82839.01746,0.0,0,-65.00036760084322,7218.978036875365,4280.10242849701,3218.88449966594,-11400.73156,-23068.71043,-17631.91563,39107.63373420004
82899.01746,0.0,0,-64.98665914862028,7201.749853339979,4303.4379419501765,3226.35383168148,-11205.41727,-22951.96178,-17562.2492,38908.18206391409
82959.01746,0.0,0,-64.97109731780685,7184.428160865806,4326.69107491337,3233.863704785335,-11009.56309,-22834.10724,-17491.73644,38707.63211695477
83019.01746,0.0,0,-64.95364870313267,7167.013291041098,4349.861382253077,3241.4139752163974,-10813.16817,-22715.13116,-17420.36442,38505.97139583953
83079.01746,0.0,0,-64.93427897778417,7149.505577237816,4372.948420421294,3249.0044984402275,-10616.23174,-22595.01751,-17348.11986,38303.18708262423
83139.01746,0.0,0,-64.91295286092763,7131.905354605216,4395.951747464048,3256.635129151833,-10418.75314,-22473.74989,-17274.98916,38099.2660773339
83199.01746,0.0,0,-64.88963404999629,7114.212960063449,4418.870923029844,3264.3057212784465,-10220.73177,-22351.31146,-17200.95836,37894.19490544035
83259.01746,0.0,0,-64.864285227129,7096.428732297114,4441.705508378079,3272.016127982316,-10022.16716,-22227.685,-17126.01313,37687.95978852717
83319.01746,0.0,0,-64.83686798149725,7078.553011748754,4464.455066387475,3279.7662016635286,-9823.058926,-22102.85282,-17050.13878,37480.54656735711
83379.01746,0.0,0,-64.8073427912125,7060.586140612373,4487.119161564414,3287.5557939628216,-9623.406815,-21976.79682,-16973.32022,37271.94074468618
83439.01746,0.0,0,-64.77566896890153,7042.528462826851,4509.697360051295,3295.384755764433,-9423.210688,-21849.49842,-16895.54196,37062.12742943281
83499.01746,0.0,0,-64.74180463406483,7024.380324069378,4532.189229634838,3303.2529371989544,-9222.470542,-21720.93855,-16816.78809,36851.09133003123
83559.01746,0.0,0,-64.70570664465949,7006.142071748842,4554.594339754339,3311.160187646192,-9021.186512,-21591.09766,-16737.04226,36638.81675299131
83619.01746,0.0,0,-64.66733055436741,6987.814054999155,4576.91226150994,3319.1063557380626,-8819.358886,-21459.95569,-16656.28768,36425.287589722895
83679.01746,0.0,0,-64.62663057760462,6969.396624672603,4599.142567670812,3327.091289361478,-8616.988115,-21327.49203,-16574.50709,36210.48727741238
83739.01746,0.0,0,-64.58355951762921,6950.890133333094,4621.284832683362,3335.1148356612707,-8414.074821,-21193.68553,-16491.68274,35994.398800095994
83799.01746,0.0,0,-64.53806871575625,6932.294935249443,4643.338632679347,3343.176841043105,-8210.619812,-21058.51447,-16407.79638,35777.00466965526
83859.01746,0.0,0,-64.49010799569464,6913.611386388564,4665.303545484019,3351.27715117643,-8006.624097,-20921.95653,-16322.82925,35558.286906641566
83919.01746,0.0,0,-64.4396256082713,6894.839844408658,4687.1791506241925,3359.41561099743,-7802.088892,-20783.98878,-16236.76201,35338.22699834859
83979.01746,0.0,0,-64.38656815791353,6875.980668652392,4708.965029336281,3367.5920647119865,-7597.015646,-20644.58765,-16149.57478,35116.80591158807
84039.01746,0.0,0,-64.33088052070178,6857.034220139984,4730.660764574343,3375.806355798672,-7391.406046,-20503.72891,-16061.24711,34894.00406514477
84099.01746,0.0,0,-64.27250582410016,6838.000861562327,4752.265941018032,3384.0583270117327,-7185.262045,-20361.38764,-15971.75789,34669.80127085648
84159.01746,0.0,0,-64.21138531242924,6818.88095727401,4773.780145080583,3392.347820384115,-6978.585869,-20217.5382,-15881.08542,34444.176754842556
84219.01746,0.0,0,-64.14745831350531,6799.674873286382,4795.20296491669,3400.6746772304723,-6771.380048,-20072.15422,-15789.20731,34217.10910820246
84279.01746,0.0,0,-64.08066214468795,6780.382977260511,4816.533990430425,3409.038738150216,-6563.647428,-19925.20853,-15696.10049,33988.57624748051
84339.01746,0.0,0,-64.01093200840779,6761.005638500161,4837.772813283074,3417.4398430305628,-6355.391199,-19776.6732,-15601.74117,33758.55543334213
84399.01746,0.0,0,-63.93820094744456,6741.543227944734,4858.919026900943,3425.877831049592,-6146.614919,-19626.51942,-15506.1048,33527.02317086914
84459.01746,0.0,0,-63.86239970467027,6721.996118162138,4879.972226483165,3434.35254067934,-5937.322539,-19474.71754,-15409.16606,33293.95524324741
84519.01746,0.0,0,-63.78345665400977,6702.364683341697,4900.932009009422,3442.863809688873,-5727.518432,-19321.23699,-15310.89881,33059.32663671886
84579.01746,0.0,0,-63.70129768311378,6682.649299286948,4921.797973247682,3451.411475147413,-5517.207424,-19166.04627,-15211.27606,32823.11152816315
84639.01746,0.0,0,-63.61584609573607,6662.85034340846,4942.569719761879,3459.995373427444,-5306.394827,-19009.11289,-15110.26993,32585.283230743862
84699.01746,0.0,0,-63.52702249250011,6642.968194716634,4963.246850919532,3468.6153402078385,-5095.086474,-18850.40334,-15007.85161,32345.814161702358
84759.01746,0.0,0,-63.43474466380119,6623.003233814403,4983.8289708994,3477.2712104770244,-4883.288758,-18689.88303,-14903.99131,32104.675783273593
84819.01746,0.0,0,-63.33892744079177,6602.955842889993,5004.315685699014,3485.96281853612,-4671.008673,-18527.51627,-14798.65824,31861.83859024878
84879.01746,0.0,0,-63.23948258171304,6582.826405709559,5024.70660314226,3494.6899980021253,-4458.25386,-18363.2662,-14691.82055,31617.272038981406
84939.01746,0.0,0,-63.1363186234277,6562.615307609887,5045.001332886855,3503.4525818110924,-4245.032656,-18197.09478,-14583.44527,31370.944520811612
84999.01746,0.0,0,-63.02934076293458,6542.322935490978,5065.199486431837,3512.2504022213343,-4031.354142,-18028.96265,-14473.49826,31122.823243778133
85059.01746,0.0,0,-62.91845066342892,6521.94967780866,5085.300677125004,3521.083290816631,-3817.228206,-17858.82917,-14361.94418,30872.87426328739
85119.01746,0.0,0,-62.80354633411467,6501.495924567154,5105.3045201702935,3529.9510785094494,-3602.665602,-17686.65229,-14248.7464,30621.06234969627
85179.01746,0.0,0,-62.684521927932394,6480.962067311597,5125.21063263518,3538.853595544192,-3387.678017,-17512.38856,-14133.86695,30367.350984255743
85239.01746,0.0,0,-62.56126760115269,6460.348499120562,5145.018633457975,3547.7906715004324,-3172.278143,-17335.99296,-14017.26646,30111.70221565956
85299.01746,0.0,0,-62.433669282990934,6439.655614598514,5164.72814345515,3556.762135296191,-2956.479757,-17157.41894,-13898.9041,29854.076673963133
85359.01746,0.0,0,-62.30160853580334,6418.883809868277,5184.338785328567,3565.767815191197,-2740.297808,-16976.61827,-13778.73746,29594.433408300763
85419.01746,0.0,0,-62.164962306360394,6398.033482563431,5203.850183672726,3574.8075387901868,-2523.748508,-16793.54099,-13656.72253,29332.729856703365
85479.01746,0.0,0,-62.02360272377279,6377.105031820709,5223.261964981944,3583.881133046202,-2306.849437,-16608.13535,-13532.81359,29068.92175817861
85539.01746,0.0,0,-61.877396894542585,6356.098858272369,5242.573757657484,3592.9884242638927,-2089.619651,-16420.34767,-13406.96311,28802.96300879562
85599.01746,0.0,0,-61.72620664146829,6335.0153640385,5261.785192014708,3602.1292381028584,-1872.079808,-16230.1223,-13279.12169,28534.80561885413
85659.01746,0.0,0,-61.56988827996558,6313.8549527193445,5280.895900290112,3611.303399580968,-1654.252295,-16037.40149,-13149.23792,28264.39955239433
85719.01746,0.0,0,-61.40829234550476,6292.618029387562,5299.9055166484,3620.510733077725,-1436.161377,-15842.12532,-13017.2583,27991.692649935132
85779.01746,0.0,0,-61.24126333104627,6271.305000580473,5318.813677189474,3629.751062337623,-1217.833356,-15644.23156,-12883.12714,27716.63048542687
85839.01746,0.0,0,-61.06863941798502,6249.916274292293,5337.620019955388,3639.024210473512,-999.2967432,-15443.65558,-12746.7864,27439.156224209724
85899.01746,0.0,0,-60.89025217891607,6228.452259966294,5356.3241849373,3648.32999997,-780.582451,-15240.3302,-12608.1756,27159.2104773674
85959.01746,0.0,0,-60.70592626755121,6206.913368487003,5374.92581408234,3657.668252686838,-561.7240037,-15034.18563,-12467.23167,26876.73118758688
86019.01746,0.0,0,-60.51547912245092,6185.300012172296,5393.424551300492,3667.03878986234,-342.7577671,-14825.14926,-12323.88882,26591.653411481984
86079.01746,0.0,0,-60.31872065139007,6163.612604765543,5411.820042471378,3676.441432116793,-123.7232033,-14613.14556,-12178.07836,26303.90915400538
86139.01746,0.0,0,-60.11545289637053,6141.851561427659,5430.111935451065,3685.8759994559055,95.33684945,-14398.09594,-12029.72855,26013.427188072335
86199.01746,0.0,0,-59.90546968974926,6120.017298729168,5448.299880078796,3695.3423112742457,314.3758684,-14179.91857,-11878.76446,25720.13284694732
