Time (sec),Link Budget (kbps),Line Of Sight (1/0),Antenna X,Antenna Y,Antenna Z,Satellite X,Satellite Y,Satellite Z
6366.493955999999,0.0,0,3781.026765188421,6457.558427094563,5008.335731246332,6090.0,2270.0,1010.0
6426.493955999999,2675.3759173271,1,3755.091749032196,6463.958094246351,5019.579937352061,5870.0,2630.0,1340.0
6486.493955999999,2675.3759173271,1,3729.131291453298,6470.23402218263,5030.835173664923,5610.0,2990.0,1680.0
6546.493955999999,2675.3759173271,1,3703.145889411424,6476.386090763632,5042.101224726509,5320.0,3330.0,2000.0
6606.493955999999,2675.3759173271,1,3677.136040343783,6482.414182220628,5053.377874871386,5000.0,3670.0,2330.0
6666.493955999999,2675.3759173271,1,3651.1022421555663,6488.318181158174,5064.664908231225,4650.0,3990.0,2650.0
6726.493955999999,2675.3759173271,1,3625.0449932104298,6494.0979745563245,5075.96210873893,4280.0,4300.0,2960.0
6786.493955999999,2675.3759173271,1,3598.96479232094,6499.753451772794,5087.269260132775,3880.0,4590.0,3260.0
6846.493955999999,2675.3759173271,1,3572.8621387390367,6505.284504545072,5098.586145960547,3470.0,4880.0,3560.0
6906.493955999999,2675.3759173271,1,3546.737532146464,6510.691026992505,5109.912549583683,3040.0,5150.0,3840.0
6966.493955999999,2675.3759173271,1,3520.591472645219,6515.972915618309,5121.248254181428,2590.0,5400.0,4120.0
7026.493955999999,2675.3759173271,1,3494.4244607479623,6521.130069311568,5132.593042754973,2130.0,5650.0,4390.0
7085.66796,2675.3759173271,1,3468.5976462848275,6526.0939592861305,5143.790337683522,1670.0,5880.0,4650.0
7145.66796,2675.3759173271,1,3442.390503969569,6531.003069839004,5155.152524923348,1200.0,6100.0,4900.0
7205.66796,2675.3759173271,1,3416.1639062554004,6535.787157737864,5166.523147111274,726.0,6300.0,5140.0
7265.66796,2675.3759173271,1,3389.9183551967244,6540.446131401166,5177.9019865800665,249.0,6490.0,5360.0
7325.66796,2675.3759173271,1,3363.6543532107685,6544.979901642415,5189.288825505189,-229.0,6660.0,5570.0
7385.66796,2675.3759173271,1,3337.372403067965,6549.388381671884,5200.683445908974,-706.0,6810.0,5770.0
7445.66796,2675.3759173271,1,3311.073007882324,6553.671487098267,5212.085629664792,-1180.0,6950.0,5960.0
7505.66796,2675.3759173271,1,3284.756671101809,6557.829135930298,5223.495158501229,-1660.0,7080.0,6130.0
7565.66796,2675.3759173271,1,3258.423896498695,6561.8612485783215,5234.911814006264,-2130.0,7200.0,6300.0
7625.66796,2675.3759173271,1,3232.0751881599226,6565.767747855811,5246.3353776314525,-2590.0,7310.0,6450.0
7685.667960000001,2675.3759173271,1,3205.711050477454,6569.548558980858,5257.765630696105,-3060.0,7400.0,6600.0
7745.667960000001,2675.3759173271,1,3179.3319881386137,6573.203609577584,5269.20235439148,-3520.0,7490.0,6740.0
7805.667960000001,2675.3759173271,1,3152.9385061164257,6576.73282967755,5280.645329784967,-3970.0,7570.0,6870.0
7865.667960000001,2675.3759173271,1,3126.531109659954,6580.136151721075,5292.094337824278,-4430.0,7630.0,6990.0
7925.667960000001,2675.3759173271,1,3100.1103042846225,6583.413510558543,5303.5491593416455,-4870.0,7700.0,7110.0
7985.667960000001,2675.3759173271,1,3073.676595762542,6586.564843451642,5315.009575058014,-5320.0,7750.0,7220.0
8045.667960000001,2675.3759173271,1,3047.2304901128277,6589.59009007457,5326.475365587237,-5750.0,7800.0,7320.0
8105.667960000001,2675.3759173271,1,3020.7724935919123,6592.489192515187,5337.946311440281,-6190.0,7840.0,7420.0
8165.667960000001,2675.3759173271,1,2994.3031126838537,6595.2620952761245,5349.422193029422,-6620.0,7880.0,7510.0
8225.66796,2675.3759173271,1,2967.822854090645,6597.908745275849,5360.90279067245,-7040.0,7910.0,7590.0
8285.66796,2675.3759173271,1,2941.3322247225037,6600.429091849677,5372.387884596881,-7460.0,7930.0,7670.0
8345.66796,2675.3759173271,1,2914.8317316881785,6602.823086750743,5383.877254944156,-7870.0,7950.0,7750.0
8405.66796,2675.3759173271,1,2888.321882285238,6605.090684150928,5395.37068177385,-8290.0,7970.0,7820.0
8465.66796,2675.3759173271,1,2861.803183990359,6607.231840641731,5406.86794506789,-8690.0,7980.0,7890.0
8525.66796,2675.3759173271,1,2835.27614444961,6609.246515235104,5418.368824734758,-9090.0,7990.0,7960.0
8585.66796,2675.3759173271,1,2808.741271468737,6611.134669364235,5429.87310061371,-9490.0,7990.0,8020.0
