Time (sec),Link Budget (kbps),Antenna X,Antenna Y,Antenna Z,Satelite X,Satelite Y,Satelite Z,Slant Distance (km)
10325.66796,293354.7308387834,168.74164708048738,6574.593248026029,6172.161277789811,-19765.09399,7047.68277,8706.237971,20099.829889554112
10385.66796,285734.55114998145,142.3699972718291,6564.465800365039,6183.594787759903,-20062.457,6994.799173,8704.942638,20366.08493999763
10445.66796,278467.84062074445,116.0392536613258,6554.212689474717,6195.010562721838,-20357.44161,6941.086252,8702.614996,20630.10348548654
10505.66796,271531.8071462252,89.74992029704345,6543.834111629835,6206.408384144028,-20650.08732,6886.575775,8699.287177,20891.930625906567
10565.66796,264905.51591048687,63.50250043432834,6533.330265506971,6217.788033838564,-20940.4326,6831.298052,8694.989952,21151.60995878062
10625.66796,258569.70807993377,37.29749652618239,6522.701352180707,6229.149293965404,-21228.51492,6775.282017,8689.752797,21409.18364455464
10685.66796,252506.64110313306,11.135410213640624,6511.947575119784,6240.491947036529,-21514.37073,6718.555305,8683.603966,21664.692420702053
10745.66796,246699.94374411993,-14.983257683830288,6501.069140183197,6251.815775920121,-21798.03557,6661.144325,8676.570557,21918.175741933148
10805.66796,241134.49016472494,-41.05800717792363,6490.066255616266,6263.120563844709,-22079.54404,6603.07433,8668.67857,22169.671778462296
10865.66796,235796.28594287438,-67.08833912105774,6478.939132046641,6274.406094403321,-22358.92984,6544.369476,8659.952967,22419.21748214184
10925.66796,230672.3659815313,-93.07375521593394,6467.687982480271,6285.672151557629,-22636.22582,6485.052888,8650.417722,22666.848659856725
10985.66796,225750.70385702778,-119.0137580250771,6456.313022297333,6296.918519642085,-22911.46399,6425.146708,8640.095873,22912.600005793538
11045.66796,221020.1302353513,-144.9078509803535,6444.814469248099,6308.144983368045,-23184.67554,6364.67215,8629.009571,23156.50514195638
11105.66796,216470.25897176913,-170.75553839248096,6433.192543448777,6319.351327827896,-23455.89089,6303.649551,8617.180119,23398.596686192832
11165.66796,212091.42128749864,-196.5563254605163,6421.447467377291,6330.537338499164,-23725.1397,6242.098412,8604.628017,23638.906279909927
11225.66796,207874.60637156555,-222.3097182813267,6409.579465869025,6341.702801248626,-23992.45088,6180.037444,8591.373002,23877.46461414999
11285.66796,203811.40719184704,-248.01522385904676,6397.588766112517,6352.847502336406,-24257.85263,6117.484605,8577.434082,24114.30148399114
11345.66796,199893.97163877846,-273.6723501145102,6385.475597645114,6363.971228420067,-24521.37247,6054.457143,8562.82957,24349.44583204197
11405.66796,196114.95840470272,-299.2806058946776,6373.240192348572,6375.073766558697,-24783.03726,5990.971625,8547.57712,24582.925781439102
11465.66796,192467.4977145097,-324.83950098203286,6360.882784444624,6386.154904216981,-25042.87317,5927.043974,8531.693757,24814.76861759858
11525.66796,188945.15332088343,-350.3485461039677,6348.403610490489,6397.214429269274,-25300.9058,5862.6895,8515.195903,25045.000918349753
11585.66796,185541.89108623343,-375.807252942152,6335.802909374349,6408.252130003661,-25557.16009,5797.922928,8498.099406,25273.648474562473
11645.66796,182252.04738325573,-401.2151341418785,6323.080922310772,6419.267795126007,-25811.66043,5732.758429,8480.419568,25500.736409184898
11705.66796,179070.30243275806,-426.5717033213882,6310.237892836101,6430.261213764004,-26064.43062,5667.209642,8462.171167,25726.289145948544
11765.66796,177510.50735116072,-451.87647508119153,6297.274066803784,6441.232175471209,-26203.98005,5630.669087,8451.803229,25839.071126759434
11798.96796,174325.65364449218,-465.8980941107525,6290.027109239007,6447.311291572572,-26454.11348,5564.504504,8432.679764,26074.03708606307
11858.96796,171397.9786423795,-491.1213589679178,6276.875938392385,6458.246915711186,-26702.5751,5497.988245,8413.023273,26295.781484188643
11918.96796,168561.91686342543,-516.291590734656,6263.604609634285,6469.159547190164,-26949.38681,5431.132259,8392.846851,26516.072596222803
11978.96796,165813.4250799202,-541.4083075785215,6250.213377017069,6480.048977109563,-27194.57004,5363.948066,8372.163169,26734.932067452166
12038.96796,163148.68858944575,-566.4710286915029,6236.702496888408,6490.9149970135895,-27438.1457,5296.446779,8350.984484,26952.380951449955
12098.96796,160564.10470239221,-591.4792742992263,6223.072227886383,6501.757398894587,-27680.13427,5228.639118,8329.322665,27168.439805922197
12158.96796,158056.26910779538,-616.432565670139,6209.322830934529,6512.575975197016,-27920.55576,5160.535431,8307.189201,27383.128657106186
12218.96796,155621.96246699055,-641.3304251246745,6195.45456923684,6523.370518821433,-28159.42974,5092.145708,8284.595222,27596.46703478023
12278.96796,153258.13817267725,-666.1723760443979,6181.467708272732,6534.140823128444,-28396.77536,5023.479597,8261.551512,27808.473996385423
12338.96796,150961.91126144968,-690.9579428811253,6167.362515791962,6544.886681942672,-28632.61135,4954.546419,8238.068523,28019.168131032755
12398.96796,148730.54794538717,-715.6866511660355,6153.1392618095,6555.607889556697,-28866.95604,4885.35518,8214.156387,28228.56758319772
12458.96796,146561.45603264795,-740.3580275187428,6138.798218600361,6566.304240734998,-29099.82737,4815.914586,8189.82493,28436.690066198065
12518.96796,144452.1761554322,-764.9715996563655,6124.339660694395,6576.975530717875,-29331.24289,4746.233056,8165.083683,28643.55286536149
12578.96796,142400.373135697,-789.5268964025668,6109.763864871027,6587.621555225378,-29561.21981,4676.318731,8139.941896,28849.17289120355
12638.96796,140403.82896463593,-814.0234476965688,6095.071110153962,6598.242110461208,-29789.77495,4606.179489,8114.408546,29053.566632051155
