Time (min),Available Satellite,Link Budget (kbps),Satellite X,Satellite Y,Satellite Z
3360.178301,WPSA,262.85841025258554,-231477.917,-59247.74224,-16729.89784
3361.178301,WPSA,262.71728640339984,-231544.8912,-59278.94361,-16746.57016
3362.178301,WPSA,262.5761031600025,-231611.8414,-59310.13862,-16763.24065
3363.178301,WPSA,262.43486017635587,-231678.7677,-59341.32726,-16779.90932
3364.178301,WPSA,262.293557528136,-231745.67,-59372.50955,-16796.57615
3365.178301,WPSA,262.15219466841904,-231812.5485,-59403.68548,-16813.24115
3366.178301,WPSA,262.01077190543054,-231879.403,-59434.85505,-16829.90431
3367.178301,WPSA,261.869288902709,-231946.2336,-59466.01827,-16846.56565
3368.178301,WPSA,261.72774555691683,-232013.0403,-59497.17514,-16863.22515
3369.178301,WPSA,261.5861417554074,-232079.8231,-59528.32567,-16879.88283
3370.178301,WPSA,261.4444769883536,-232146.5822,-59559.46985,-16896.53867
3371.178301,WPSA,261.3027517997796,-232213.3173,-59590.60768,-16913.19267
3372.178301,WPSA,261.1609654594149,-232280.0287,-59621.73917,-16929.84485
3373.178301,WPSA,261.0191183093618,-232346.7162,-59652.86433,-16946.49519
3374.178301,WPSA,260.8772098563301,-232413.38,-59683.98315,-16963.1437
3375.178301,WPSA,260.7352404560106,-232480.0199,-59715.09563,-16979.79037
3376.178301,WPSA,260.5932096133909,-232546.6361,-59746.20178,-16996.43522
3377.178301,WPSA,260.45111727830306,-232613.2286,-59777.3016,-17013.07822
3378.178301,WPSA,260.3089633866224,-232679.7974,-59808.3951,-17029.7194
3379.178301,WPSA,260.166748112423,-232746.3424,-59839.48227,-17046.35874
3380.178301,WPSA,260.0244712045738,-232812.8637,-59870.56311,-17062.99624
3381.178301,WPSA,259.88213261448885,-232879.3613,-59901.63764,-17079.63191
3382.178301,WPSA,259.7397321083116,-232945.8353,-59932.70585,-17096.26575
3383.178301,WPSA,259.59726987388774,-233012.2856,-59963.76774,-17112.89775
3384.178301,WPSA,259.45474568071415,-233078.7123,-59994.82331,-17129.52792
3385.178301,WPSA,259.3121595070916,-233145.1154,-60025.87258,-17146.15625
