Antenna,Time (sec),X,Y,Z
DSS 24,9665.66796,760.3847280306536,-4583.255671223369,-2710.1297799013305
DSS 24,9725.66796,778.7673221009352,-4575.442806288256,-2718.0996101585833
DSS 24,9785.66796,797.1183776797186,-4567.542353888124,-2726.055766805743
DSS 24,9845.66796,815.4375434736951,-4559.554465260923,-2733.9980975385147
DSS 24,9905.66796,833.7244688000217,-4551.479293318394,-2741.9264503172712
DSS 24,9965.66796,851.9788035930326,-4543.316992643135,-2749.8406733699667
DSS 24,10025.66796,870.2001984109406,-4535.0677194856435,-2757.7406151950368
DSS 24,10085.66796,888.3883044425279,-4526.731631761332,-2765.6261245643054
DSS 24,10145.66796,906.5427735138207,-4518.3088890474955,-2773.497050525873
DSS 24,10205.66796,924.663258094756,-4509.799652580262,-2781.3532424070117
DSS 24,10265.66796,942.7494113058351,-4501.204085251506,-2789.194549817047
DSS 24,10325.66796,960.8008869247626,-4492.522351605727,-2797.020822650236
DSS 24,10385.66796,978.8173393930738,-4483.754617836903,-2804.8319110886423
DSS 24,10445.66796,996.7984238227511,-4474.90105178531,-2812.627665605005
DSS 24,10505.66796,1014.7437960028249,-4465.961822934305,-2820.4079369655974
DSS 24,10565.66796,1032.6531124059638,-4456.9371024070815,-2828.172576233088
DSS 24,10625.66796,1050.5260301950511,-4447.827062963399,-2835.9214347693887
DSS 24,10685.66796,1068.3622072297437,-4438.631878996272,-2843.6543642385013
DSS 24,10745.66796,1086.1613020730283,-4429.351726528631,-2851.371216609356
DSS 24,10805.66796,1103.9229739977532,-4419.986783209954,-2859.071844158648
DSS 24,10865.66796,1121.6468829931505,-4410.537228312869,-2866.7560994736623
DSS 24,10925.66796,1139.332689771347,-4401.003242729714,-2874.423835455096
DSS 24,10985.66796,1156.980055773859,-4391.385008969084,-2882.074905319877
DSS 24,11045.66796,1174.5886431780705,-4381.682711152329,-2889.7091626039696
DSS 24,11105.66796,1192.1581149037047,-4371.896535010035,-2897.326461165182
DSS 24,11165.66796,1209.6881346192718,-4362.0266678784665,-2904.926655185961
DSS 24,11225.66796,1227.1783667485115,-4352.073298695977,-2912.5095991761855
DSS 24,11285.66796,1244.6284764768152,-4342.036617999402,-2920.075147975952
DSS 24,11345.66796,1262.0381297576337,-4331.916817920398,-2927.62315675835
DSS 24,11405.66796,1279.4069933188753,-4321.714092181775,-2935.1534810322382
DSS 24,11465.66796,1296.7347346692832,-4311.428636093786,-2942.6659766450084
DSS 24,11525.66796,1314.0210221048,-4301.060646550382,-2950.1604997853456
DSS 24,11585.66796,1331.2655247149205,-4290.610322025454,-2957.636906985981
DSS 24,11645.66796,1348.4679123890223,-4280.077862569021,-2965.0950551264377
DSS 24,11705.66796,1365.6278558226873,-4269.4634698034115,-2972.534801435772
DSS 24,11765.66796,1382.7450265240082,-4258.767346919396,-2979.9560034953056
DSS 24,11798.96796,1392.2264788394682,-4252.795806335764,-2984.0667163390717
DSS 24,11858.96796,1409.2764873182145,-4241.973000440348,-2991.458800010223
DSS 24,11918.96796,1426.28288750112,-4231.0689906751595,-2998.831977170447
